SKU,Date,Total_Sales_USD,Total_Units_Sold,Organic_Conversion_Rate_Percent,Organic_Sales_USD,Ad_Spend_USD,Advertising_Conversion_Rate_Percent,Average_CPC_USD,TACOS_Percent,ACOS_Percent,Margin_Before_Ads_USD,Profit_USD,Profit_Margin_Percent,Percent_of_Sales_from_Ads,SEO_Score
SKU1,2024-01-01,805.93,34,15.79,526.91,133.03,10.18,1.04,16.51,25.23,483.56,350.53,43.49,16.51,88
SKU1,2024-01-02,812.15,50,27.29,510.58,215.18,11.96,1.34,26.5,34.08,487.29,272.11,33.5,26.5,78
SKU1,2024-01-03,1236.41,17,26.89,900.28,173.19,6.94,0.77,14.01,43.86,741.85,568.6600000000001,45.99,14.01,64
SKU1,2024-01-04,924.32,17,23.79,491.66,234.51,12.86,1.95,25.37,15.18,554.59,320.08000000000004,34.63,25.37,92
SKU1,2024-01-05,885.28,22,28.47,675.13,207.25,9.17,1.69,23.41,25.5,531.17,323.92,36.59,23.41,57
SKU1,2024-01-06,1443.91,45,20.25,737.86,372.4,13.71,1.24,25.79,17.83,866.35,493.9500000000001,34.21,25.79,70
SKU1,2024-01-07,1024.99,38,24.53,742.06,150.94,9.76,0.53,14.73,24.2,614.99,464.05,45.27,14.73,88
SKU1,2024-01-08,1023.91,24,26.08,632.56,105.31,13.59,1.8,10.29,13.64,614.35,509.04,49.72,10.29,68
SKU1,2024-01-09,1495.73,17,23.65,1231.23,339.4,11.21,0.88,22.69,47.89,897.44,558.0400000000001,37.31,22.69,72
SKU1,2024-01-10,1070.27,36,22.91,943.76,244.52,9.0,0.81,22.85,33.58,642.16,397.64,37.15,22.85,60
SKU1,2024-01-11,1212.11,17,16.44,1006.03,362.95,14.64,2.98,29.94,11.89,727.27,364.32,30.06,29.94,60
SKU1,2024-01-12,1128.43,13,19.55,668.47,305.15,13.61,1.88,27.04,31.2,677.06,371.91,32.96,27.04,73
SKU1,2024-01-13,955.41,13,26.21,545.03,159.63,9.65,2.97,16.71,33.1,573.25,413.62,43.29,16.71,85
SKU1,2024-01-14,887.42,25,13.73,638.29,134.63,7.8,2.41,15.17,38.87,532.45,397.8200000000001,44.83,15.17,89
SKU1,2024-01-15,741.48,10,24.05,402.14,171.37,8.35,0.52,23.11,43.12,444.89,273.52,36.89,23.11,73
SKU1,2024-01-16,1193.05,47,10.63,886.18,196.77,9.62,0.55,16.49,13.61,715.83,519.0600000000001,43.51,16.49,52
SKU1,2024-01-17,646.16,12,24.35,522.86,103.3,8.45,2.0,15.99,11.07,387.7,284.4,44.01,15.99,71
SKU1,2024-01-18,880.05,15,13.85,490.73,131.32,9.23,0.94,14.92,26.25,528.03,396.71,45.08,14.92,51
SKU1,2024-01-19,712.51,17,13.53,425.31,124.93,14.02,2.04,17.53,39.92,427.51,302.58,42.47,17.53,73
SKU1,2024-01-20,638.82,42,22.01,410.83,129.78,8.46,2.2,20.32,14.0,383.29,253.51,39.68,20.32,93
SKU1,2024-01-21,865.42,12,26.44,596.39,161.66,5.3,0.62,18.68,34.8,519.25,357.59000000000003,41.32,18.68,79
SKU1,2024-01-22,642.31,45,26.53,364.12,80.73,10.07,2.1,12.57,23.54,385.39,304.66,47.43,12.57,87
SKU1,2024-01-23,575.45,30,29.82,365.47,166.22,5.45,0.6,28.89,44.63,345.27,179.04999999999998,31.11,28.89,51
SKU1,2024-01-24,1474.99,27,18.14,1012.7,402.13,14.45,2.3,27.26,39.05,884.99,482.86,32.74,27.26,70
SKU1,2024-01-25,1471.85,46,18.08,1204.64,310.09,5.63,1.86,21.07,28.92,883.11,573.02,38.93,21.07,82
SKU1,2024-01-26,533.11,40,25.97,286.58,95.64,6.21,2.85,17.94,24.78,319.87,224.23,42.06,17.94,61
SKU1,2024-01-27,731.25,39,13.35,408.44,140.67,8.33,1.24,19.24,34.17,438.75,298.08000000000004,40.76,19.24,71
SKU1,2024-01-28,1415.54,16,10.8,972.25,163.81,11.36,2.49,11.57,38.63,849.32,685.51,48.43,11.57,93
SKU1,2024-01-29,1159.76,16,28.66,702.6,258.71,9.35,2.75,22.31,12.74,695.86,437.15,37.69,22.31,74
SKU1,2024-01-30,1063.79,26,12.9,880.27,145.8,5.21,2.56,13.71,48.0,638.27,492.47,46.29,13.71,98
